Model,vCPU,MemoryGB,Storage (GiB),Dedicated EBS Bandwidth (Mbps),Network Performance (Gbps)
c1.medium,2,1.7,1 x 350,-,Moderate
c1.xlarge,8,7.0,4 x 420,Yes,High
cc2.8xlarge,32,60.5,4 x 840,-,10 Gigabit
c3.large,2,3.8,2 x 16,-,Moderate
c3.xlarge,4,7.5,2 x 40,Yes,Moderate
c3.2xlarge,8,15.0,2 x 80,Yes,High
c3.4xlarge,16,30.0,2 x 160,Yes,High
c3.8xlarge,32,60.0,2 x 320,Yes,10 Gigabit
c4.large,2,3.8,EBS-Only,500,Moderate
c4.xlarge,4,7.5,EBS-Only,750,High
c4.2xlarge,8,15.0,EBS-Only,1000,High
c4.4xlarge,16,30.0,EBS-Only,2000,High
c4.8xlarge,36,60.0,EBS-Only,4000,10 Gigabit
c5.large,2,4.0,EBS-Only,"Up to 3,500",Up to 10
c5.xlarge,4,8.0,EBS-Only,"Up to 3,500",Up to 10
c5.2xlarge,8,16.0,EBS-Only,"Up to 3,500",Up to 10
c5.4xlarge,16,32.0,EBS-Only,3500,Up to 10
c5.9xlarge,36,72.0,EBS-Only,7000,10
c5.18xlarge,72,144.0,EBS-Only,14000,25
c5d.large,2,4.0,1 x 50 NVMe SSD,"Up to 3,500",Up to 10
c5d.xlarge,4,8.0,1 x 100 NVMe SSD,"Up to 3,500",Up to 10
c5d.2xlarge,8,16.0,1 x 200 NVMe SSD,"Up to 3,500",Up to 10
c5d.4xlarge,16,32.0,1 x 400 NVMe SSD,3500,Up to 10
c5d.9xlarge,36,72.0,1 x 900 NVMe SSD,7000,10
c5d.18xlarge,72,144.0,2 x 900 NVMe SSD,14000,25
c5n.large,2,5.3,EBS-Only,"Up to 3,500",Up to 25
c5n.xlarge,4,10.5,EBS-Only,"Up to 3,500",Up to 25
c5n.2xlarge,8,21.0,EBS-Only,"Up to 3,500",Up to 25
c5n.4xlarge,16,42.0,EBS-Only,3500,Up to 25
c5n.9xlarge,36,96.0,EBS-Only,7000,50
c5n.18xlarge,72,192.0,EBS-Only,14000,100
d2.xlarge,4,30.5,3 x 2000 HDD,,Moderate
d2.2xlarge,8,61.0,6 x 2000 HDD,,High
d2.4xlarge,16,122.0,12 x 2000 HDD,,High
d2.8xlarge,36,244.0,24 x 2000 HDD,,10 Gigabit
m1.small,1,1.7,1 x 160,,Low
m1.medium,1,3.8,1 x 410,,Moderate
m1.large,2,7.5,2 x 420,,Moderate
m1.xlarge,4,15.0,4 x 420,,High
m3.medium,1,3.8,1 x 4,,Moderate
m3.large,2,7.5,1 x 32,,Moderate
m3.xlarge,4,15.0,2 x 40,,High
m3.2xlarge,8,30.0,2 x 80,,High
